sample	Pop	Count_LinesInFile	Count_HomDer_Calls	Count_Het_Calls	Count_HomAnc_Calls	Total_DerAlleles	Count_HomDerSyn_Calls	Count_HomDerNonSyn_Calls	Count_HomDerLOF_Calls	Count_HetSyn_Calls	Count_HetNonSyn_Calls	Count_HetLOF_Calls	Total_DerAlleles_SYN	Total_DerAlleles_NONSYN	Total_DerAlleles_LOF	Ct_Lines_HomDerNoGERPScore	Ct_Lines_HetNoGERPScore	GERPScore_AllDerAlleles	GERPScore_HomDerSites	av_GERP_Total_DerAlleles	av_GERP_Total_HomDer_Sites	Ct_NONSYNDeralleles_GERPmt4	Ct_SYNDeralleles_GERPlt2	Count_SYN_homder_calls_GERPlt2	Count_NON_homder_calls_GERPmt4	Count_SYN_het_calls_GERPlt2	Count_NON_het_calls_GERPmt4	count_LOF_site_called	count_syn_site_called	count_nonsyn_site_called	count_LOF_site_called	count_synlt2_site_called	count_nonsynmt4_site_called
CR008_10819	CR	693279	9438	8357	675484	27233	5675	3744	19	4545	3782	30	15895	11270	68	0	2.0	-27268.683	-11487.094	-1.00145738	-1.21724001272	3055	12125	4374	909	3377	1237	8612	262729	421938	8612	185273	219007
CR008_10827	CR	693279	9414	8242	675623	27070	5630	3766	18	4514	3696	32	15774	11228	68	0	0.0	-26636.275	-11074.452	-0.984123069534	-1.17663110922	2992	12019	4342	903	3335	1186	8612	262729	421938	8612	185273	219007
CR008_11289	CR	693279	9357	8474	675448	27188	5614	3724	19	4668	3782	24	15896	11230	62	0	0.0	-27364.884	-11540.869	-1.00658000441	-1.23352597264	2983	12126	4339	905	3448	1173	8612	262729	421938	8612	185273	219007
CR008_11290	CR	693279	9441	8216	675622	27098	5654	3763	24	4531	3663	22	15839	11189	70	0	2.0	-27043.577	-11523.118	-0.998138960655	-1.22066927966	2965	12063	4354	910	3355	1145	8612	262729	421938	8612	185273	219007
CR008_17633	CR	693279	9318	8232	675729	26868	5610	3687	21	4494	3707	31	15714	11081	73	0	1.0	-27516.243	-11270.348	-1.0242413177	-1.20965418053	2955	11982	4326	923	3330	1109	8612	262729	421938	8612	185273	219007
CR008_17634	CR	693279	9426	8156	675697	27008	5678	3729	19	4498	3632	26	15854	11090	64	0	1.0	-26998.801	-11291.59	-0.999770449917	-1.19804668435	2926	12076	4379	903	3318	1120	8612	262729	421938	8612	185273	219007
CR008_38834	CR	693279	9338	8418	675523	27094	5597	3721	20	4616	3772	30	15810	11214	70	0	1.0	-26949.07	-11678.432	-0.994760990735	-1.25076919782	3044	12064	4347	929	3370	1186	8612	262729	421938	8612	185273	219007
CR008_8040	CR	693279	9431	8146	675702	27008	5676	3737	18	4462	3655	29	15814	11129	65	0	1.0	-26892.285	-11233.804	-0.995826143307	-1.1912835631	2928	12048	4367	920	3314	1088	8612	262729	421938	8612	185273	219007
CR009_10005	CR	693279	9356	8417	675506	27129	5648	3688	20	4568	3808	41	15864	11184	81	0	1.0	-26834.074	-11454.96	-0.989238147902	-1.22447461251	2992	12123	4379	903	3365	1186	8612	262729	421938	8612	185273	219007
CR009_10006	CR	693279	9383	8213	675683	26979	5668	3697	18	4485	3694	34	15821	11088	70	0	0.0	-27499.24	-11546.839	-1.01943429101	-1.23087506662	2946	12080	4379	921	3322	1104	8612	262729	421938	8612	185273	219007
CR009_10007	CR	693279	9508	8141	675630	27157	5712	3772	24	4497	3620	24	15921	11164	72	0	0.0	-26668.94	-11124.462	-0.982100533972	-1.17013379615	3016	12125	4393	944	3339	1128	8612	262729	421938	8612	185273	219007
CR009_18608	CR	693279	9397	8187	675695	26981	5677	3701	19	4464	3692	31	15818	11094	69	0	0.0	-27541.826	-11680.079	-1.02093731697	-1.24322288451	2947	12040	4372	900	3296	1147	8612	262729	421938	8612	185273	219007
CR009_18610	CR	693279	9342	8401	675536	27085	5615	3711	16	4620	3747	34	15850	11169	66	0	1.0	-26888.404	-11076.046	-0.992851488073	-1.18574520929	2983	12053	4302	900	3449	1183	8612	262729	421938	8612	185273	219007
CR009_39512	CR	693279	9248	8425	675606	26921	5548	3681	19	4698	3704	23	15794	11066	61	0	1.0	-27097.732	-11141.433	-1.0066770191	-1.2048700119	2948	12059	4287	921	3485	1106	8612	262729	421938	8612	185273	219007
CR009_39574	CR	693279	9406	8327	675546	27139	5640	3747	19	4575	3725	27	15855	11219	65	0	0.0	-26594.316	-10779.247	-0.980074295191	-1.14624064228	2975	12059	4320	920	3419	1135	8612	262729	421938	8612	185273	219007
CR009_39576	CR	693279	9509	8043	675727	27061	5705	3785	19	4421	3598	24	15831	11168	62	0	1.0	-26997.886	-11072.124	-0.997778328036	-1.16450610013	2954	12026	4364	914	3298	1126	8612	262729	421938	8612	185273	219007
CR009_39579	CR	693279	9551	7900	675828	27002	5758	3774	19	4282	3590	28	15798	11138	66	0	0.0	-26954.439	-11577.935	-0.998312555556	-1.21234921466	2980	12091	4454	951	3183	1078	8612	262729	421938	8612	185273	219007
CR009_39588	CR	693279	9403	8410	675466	27216	5626	3757	20	4634	3751	25	15886	11265	65	0	1.0	-27300.902	-11240.873	-1.00330388446	-1.19571034996	3005	12121	4344	920	3433	1165	8612	262729	421938	8612	185273	219007
CR009_39590	CR	693279	9293	8543	675443	27129	5590	3684	19	4742	3767	34	15922	11135	72	0	1.0	-26934.654	-10984.542	-0.992946029639	-1.182150452	2988	12136	4299	916	3538	1156	8612	262729	421938	8612	185273	219007
CR009_39896	CR	693279	9344	8347	675588	27035	5639	3684	21	4525	3791	31	15803	11159	73	0	1.0	-26505.373	-11060.393	-0.980518385617	-1.18381601199	3036	12050	4350	930	3350	1176	8612	262729	421938	8612	185273	219007
